config,mean_ratio,cost,embedded_ok,neural_ok,on_pareto
lms4s10+x7/b512,2.5596,0.0271,True,True,True
lms4s10+x6/b512,2.5596,0.0271,True,True,False
lms4s10+x9/b512,2.5596,0.0271,True,True,False
lms4s10+x10/b512,2.5596,0.0271,True,True,False
lms4s10+x8/b512,2.5596,0.0271,True,True,False
lms8s10+x7/b512,2.559,0.0402,True,True,False
lms8s10+x8/b512,2.559,0.0402,True,True,False
lms8s10+x9/b512,2.559,0.0402,True,True,False
lms8s10+x10/b512,2.559,0.0402,True,True,False
lms8s10+x6/b512,2.559,0.0402,True,True,False
lms4s9+x7/b512,2.5589,0.0271,True,True,False
lms4s9+x8/b512,2.5589,0.0271,True,True,False
lms12s10+x7/b512,2.5581,0.0532,True,True,False
lms12s10+x8/b512,2.5581,0.0532,True,True,False
lms4s8+x7/b512,2.5574,0.0271,True,True,False
lms16s10+x7/b512,2.5574,0.0663,True,True,False
lms16s10+x8/b512,2.5574,0.0663,True,True,False
lms4s8+x8/b512,2.5573,0.0271,True,True,False
lms8s9+x8/b512,2.5572,0.0402,True,True,False
lms4s7+x7/b512,2.5543,0.0271,True,True,False
lms4s7+x8/b512,2.5541,0.0271,True,True,False
lms8s8+x10/b512,2.5538,0.0402,True,True,False
lms8s8+x6/b512,2.5538,0.0402,True,True,False
lms8s8+x9/b512,2.5537,0.0402,True,True,False
lms8s8+x7/b512,2.5537,0.0402,True,True,False
lms8s8+x8/b512,2.5537,0.0402,True,True,False
lms4s10+x7/b256,2.5537,0.0271,True,True,False
lms4s10+x8/b256,2.5536,0.0271,True,True,False
lms8s10+x8/b256,2.5531,0.0402,True,True,False
lms4s8+x8/b256,2.5513,0.0271,True,True,False
lms8s9+x8/b256,2.5512,0.0402,True,True,False
lms12s8+x8/b512,2.55,0.0532,True,True,False
lms8s8+x10/b256,2.5477,0.0402,True,True,False
lms8s8+x6/b256,2.5477,0.0402,True,True,False
lms8s8+x9/b256,2.5477,0.0402,True,True,False
lms8s8+x7/b256,2.5477,0.0402,True,True,False
lms8s8+x8/b256,2.5477,0.0402,True,True,False
lms4s6+x8/b512,2.5471,0.0271,True,True,False
fixed+x7/b512,2.547,0.0252,True,True,True
lms4s6+x7/b512,2.547,0.0271,True,True,False
fixed+x8/b512,2.547,0.0252,True,True,False
lms16s8+x8/b512,2.5467,0.0663,True,True,False
lms8s7+x8/b512,2.5466,0.0402,True,True,False
lms12s8+x8/b256,2.544,0.0532,True,True,False
lms4s10+x7/b128,2.5417,0.0271,True,True,False
lms4s10+x8/b128,2.5416,0.0271,True,True,False
fixed+x8/b256,2.5411,0.0252,True,True,False
lms8s10+x8/b128,2.541,0.0402,True,True,False
lms16s8+x8/b256,2.5407,0.0663,True,True,False
lms8s7+x8/b256,2.5406,0.0402,True,True,False
lms8s8+x8/b128,2.5356,0.0402,True,True,False
lms8s6+x8/b512,2.5317,0.0402,True,True,False
lms8s6+x8/b256,2.5258,0.0402,True,True,False
delta+x8/b512,2.3696,0.0163,True,True,True
delta+x7/b512,2.3696,0.0163,True,True,False
delta+x8/b256,2.3644,0.0163,True,True,False
lms4s10/b512,2.2451,0.0222,True,True,False
lms8s10/b512,2.2447,0.0353,True,True,False
lms8s8/b512,2.2427,0.0353,True,True,False
lms8s8/b256,2.239,0.0353,True,True,False
